SITE_CODE,TOP_PRF_INT,BOT_PRF_INT
339807N1180991W001,154.5,174.5
339825N1175757W001,155,290
339825N1175757W001,310,390
339868N1175279W001,110,150
339880N1182370W001,690,710
339880N1182370W002,275,295
339898N1176931W001,190,310
340015N1178726W001,20,100
340035N1178541W001,30,100
340040N1175131W001,130,160
340040N1175131W001,230,240
340040N1175131W001,275,295
340043N1178600W001,35,55
340043N1178600W001,70,100
340045N1176407W001,230,270
340045N1176407W001,300,350
340045N1176407W001,395,405
340045N1176407W001,445,455
340045N1176407W001,480,550
340061N1179335W001,100,120
340061N1179335W001,130,155
340079N1181221W001,370,390
340080N1173940W001,134,170
340097N1179480W001,210,230
340129N1183076W001,550,570
340133N1178378W001,30,145
340142N1184220W001,141,156
340145N1184208W001,141,156
340161N1184263W001,240,269.5
340161N1184263W002,164,184
340161N1184263W003,116.5,136
340161N1184263W004,130,145
340161N1184263W005,153,168
340161N1184263W006,114.5,144.5
340161N1184263W007,166.5,180.5
340161N1184263W008,108,148
340161N1184263W009,179.5,199.5
340161N1184263W010,136,151
340161N1184263W011,157,172
340174N1170775W001,260,440
340174N1170775W001,460,659
340180N1173300W001,171,485
340181N1182228W002,160,185
340181N1182228W002,200,220
340181N1182228W002,296,302
340181N1182228W002,330,365
340181N1182228W002,407,417
340181N1182228W002,525,600
340181N1182228W002,620,645
340186N1175642W001,322,470
340186N1175642W001,490,665
340187N1180478W001,128,163
340187N1180478W001,176,191
340225N1170411W002,330,350
340233N1175215W001,230,390
340241N1180565W001,48,97
340259N1170719W001,650,1000
340266N1184214W001,159.5,175.5
340268N1170445W001,197,607
340276N1180657W001,70,82
340278N1179647W001,1063,1078
340290N1178237W001,25,60
340290N1184700W001,121,130
340290N1184700W002,185,215
340292N1184665W001,110,140
340300N1184263W001,202.15,222.15
340300N1184263W002,120,140
340300N1184683W001,145.9,175.9
340300N1184683W002,161.3,191.3
340300N1184683W003,215,246
340300N1184683W004,305.33,335.33
340300N1184683W005,145.9,175.9
340300N1184683W006,190.15,190.45
340300N1184683W007,262.95,263.25
340302N1180682W001,62,82
340303N1184653W001,195,205
340303N1184653W002,295,325
340313N1178215W001,20,70
340313N1178215W001,120,140
340322N1179643W001,246,261
340329N1180454W001,36,40
340329N1180454W001,47,56
340329N1180454W001,68,71
340334N1179796W001,1063,1083
340340N1173840W001,143,172
340355N1179827W001,304,314
340371N1170501W001,200,356
340371N1170501W001,372,470
340372N1170368W001,135,645
340376N1180712W001,82,92
340387N1180160W001,212,262
340389N1176821W001,430,1078
340430N1175630W001,260,300
340430N1175630W001,340,360
340430N1175630W001,420,460
340454N1179830W001,88,98
340469N1179761W001,350,370
340477N1172307W001,305,640
340477N1172307W001,641,1042
340481N1174911W001,243,283
340490N1173200W001,78,300
340496N1179693W001,336,356
340498N1184941W001,145,235
340500N1173510W001,50,280
340540N1177283W001,240,530
340556N1175274W001,400,980
340586N1177624W001,132,143
340586N1177624W001,161,175
340586N1177624W001,181,203
340586N1177624W001,243,245
340586N1177876W001,177,207
340586N1177876W001,253,255
340590N1176293W001,415,430
340590N1176293W001,510,695
340590N1176293W001,770,885
340590N1176293W001,925,1007
340614N1177864W001,145,196
340615N1176887W001,245,294
340615N1176887W001,300,315
340615N1176887W001,325,344
340615N1176887W001,348,378
340615N1176887W001,440,472
340646N1174554W001,450,740
340659N1179899W001,825,875
340661N1174301W001,434,564
340661N1174301W001,594,664
340666N1173040W001,194,220
340666N1173040W001,224,230
340666N1173040W001,250,260
340666N1173040W001,296,324
340666N1173040W001,334,402
340666N1173040W001,430,440
